event,x,y,z,adc,zelem,layer
74,-1.01496,1.87336,-13.4339,8,0,0
74,-1.11236,1.72353,-13.2825,29,0,0
74,-1.11349,1.7218,-13.1401,28,0,0
74,-1.24791,1.51503,-13.9924,2,0,0
74,-1.24791,1.51503,-13.9924,2,0,0
74,-1.47036,1.17286,-13.9388,6,0,0
74,-0.781714,2.23213,-12.9225,5,0,0
74,-1.47728,1.16221,-10.9356,9,1,0
74,-0.817507,2.17708,-10.7634,13,1,0
74,-0.870157,2.09609,-10.4355,6,1,0
74,-1.16293,1.64574,-9.1009,4,1,0
74,-1.14323,1.67605,-8.64695,40,1,0
74,-0.870499,2.09557,-10.4356,5,1,0
74,-1.38768,1.30003,-9.97942,5,1,0
74,-1.16293,1.64574,-9.1009,4,1,0
74,-1.14323,1.67605,-8.64695,40,1,0
74,-1.08931,1.75899,-8.73116,20,1,0
74,-1.21714,1.56236,-8.45397,10,1,0
74,-1.2208,1.55672,-8.43496,8,1,0
74,-1.23765,1.53081,-8.39768,4,1,0
74,-1.08927,1.75905,-8.7311,18,1,0
74,-1.21714,1.56236,-8.45397,10,1,0
74,-1.22032,1.55747,-8.43496,6,1,0
74,-1.23814,1.53006,-8.39793,3,1,0
74,-1.4363,1.22525,-2.73903,12,3,0
74,-1.45284,1.19981,-2.60343,8,3,0
74,-1.41896,1.25192,-2.48976,4,3,0
74,-1.42321,1.24538,-2.35497,52,3,0
74,-1.42372,1.2446,-2.31139,7,3,0
74,-1.38087,1.31051,-3.81725,4,3,0
74,-1.4363,1.22525,-2.73903,12,3,0
74,-1.45284,1.19981,-2.60343,8,3,0
74,-1.41874,1.25226,-2.49034,5,3,0
74,-1.42324,1.24533,-2.35456,55,3,0
74,-1.42372,1.2446,-2.31139,7,3,0
74,-1.38087,1.31051,-3.81725,4,3,0
74,-0.810576,2.18774,-3.00438,8,3,0
74,-0.900028,2.05014,-2.39684,9,3,0
74,-0.810576,2.18774,-3.00438,8,3,0
74,-0.900028,2.05014,-2.39684,9,3,0
74,-1.01154,1.87862,-4.52291,3,3,0
74,-1.01561,1.87236,-4.3337,45,3,0
74,-1.10653,1.73251,-3.88597,8,3,0
74,-0.82132,2.17121,0.574462,6,4,0
74,-0.999818,1.89665,-0.524475,9,4,0
74,-0.999818,1.89665,-0.524475,9,4,0
74,-1.36306,1.3379,-2.00858,25,4,0
74,-1.36219,1.33925,-2.01279,1,4,0
74,-1.36292,1.33812,-1.99817,2,4,0
74,-1.18286,1.61509,1.38759,5,5,0
74,-1.32158,1.40171,1.74783,7,5,0
74,-1.07942,1.7742,1.94374,1,5,0
74,-1.26915,1.48235,2.08263,4,5,0
74,-1.38782,1.29981,2.53,4,5,0
74,-0.78689,2.22417,2.58897,3,5,0
74,-1.33191,1.38582,2.73419,3,5,0
74,-1.28649,1.45569,2.74101,3,5,0
74,-1.39075,1.2953,2.87211,4,5,0
74,-1.38753,1.30026,2.88439,10,5,0
74,-0.807815,2.19199,2.91001,13,5,0
74,-1.13334,1.69126,3.08293,5,5,0
74,-1.24498,1.51954,3.64404,2,5,0
