event,x,y,z,adc,zelem,layer
74,-37.6325,31.0821,-5.49595,1148,0,30
74,-38.2314,31.9666,-5.6744,533,0,31
74,-38.8105,32.8601,-5.76735,1432,0,32
74,-39.3767,33.7624,-5.83055,612,0,33
74,-39.9797,34.6229,-5.82358,1976,0,34
74,-40.5009,35.5766,-5.84831,3394,0,35
74,-41.0717,36.4738,-5.9385,421,0,36
74,-41.6519,37.3602,-5.89338,1819,0,37
74,-42.2031,38.2797,-5.90636,1004,0,38
74,-43.2837,39.9766,-5.99693,756,0,39
74,-43.7905,41.0337,-6.00419,889,0,40
74,-44.3679,42.017,-6.06137,496,0,41
74,-44.9625,42.9823,-5.98173,614,0,42
74,-45.501,44.0063,-6.0351,484,0,43
74,-23.5998,20.8618,-89.5705,279,0,7
74,-23.9523,21.3138,-89.8341,700,0,8
74,-24.3434,21.7307,-90.148,295,0,9
74,-24.6822,22.1982,-90.8263,4195,0,10
74,-25.1102,22.573,-91.0188,64,0,11
74,-25.4696,23.0173,-91.2316,43,0,12
74,-25.8476,23.449,-91.6393,237,0,13
74,-26.2037,23.8969,-91.9877,158,0,14
74,-26.6044,24.3028,-92.3337,99,0,15
74,-26.9965,24.7097,-92.7159,204,0,16
74,-27.3209,25.1949,-92.9206,79,0,17
74,-27.7165,25.5959,-93.2735,404,0,18
74,-28.1357,25.9806,-93.8006,89,0,19
74,-28.4705,26.4452,-93.9696,194,0,20
74,-28.8321,26.8902,-94.4061,148,0,21
74,-29.2154,27.304,-94.5367,265,0,22
74,-30.344,28.5458,-95.473,200,0,23
74,-30.9934,29.3435,-96.4166,541,0,24
74,-31.7201,30.0603,-96.6995,168,0,25
74,-32.3755,30.8518,-97.4717,460,0,26
74,-33.0359,31.6379,-98.1589,456,0,27
74,-33.6735,32.4479,-98.7685,308,0,28
74,-34.3761,33.1899,-99.5312,896,0,29
74,-35.1048,33.9047,-99.896,634,0,30
74,-35.7317,34.7259,-100.31,142,0,31
74,-36.4457,35.4561,-100.871,217,0,32
74,-38.2774,36.4947,-102.362,99,0,34
74,-25.2493,18.8331,-77.6491,212,0,7
74,-25.5451,19.3819,-76.9846,222,0,8
74,-25.8454,19.9287,-76.6786,447,0,9
74,-26.1193,20.4871,-75.6823,34,0,10
74,-26.4413,20.9949,-75.7027,250,0,11
74,-26.795,21.4536,-75.3899,369,0,12
74,-27.0211,22.0809,-74.7595,172,0,13
74,-27.417,22.4872,-73.4808,776,0,14
74,-27.5341,23.2427,-74.0836,3136,0,15
74,-27.8898,23.6912,-73.5923,177,0,16
74,-28.0416,24.3809,-72.9946,626,0,17
74,-28.3125,24.926,-72.5058,228,0,18
74,-28.4527,25.629,-71.9935,256,0,19
74,-28.6915,26.2106,-71.4662,177,0,20
74,-28.9427,26.7746,-71.2144,767,0,21
74,-29.1611,27.3608,-70.7497,173,0,22
74,-30.6559,29.696,-70.0551,515,1,24
74,-31.5189,30.2706,-69.4682,595,1,25
74,-32.3215,30.9081,-69.1208,635,1,26
74,-33.0946,31.5765,-68.4899,776,1,27
74,-33.847,32.2666,-68.0907,456,1,28
74,-34.5521,33.0061,-67.5875,329,1,29
74,-35.2361,33.7676,-67.1519,239,1,30
74,-35.8885,34.5622,-66.8004,255,1,31
74,-36.4776,35.4227,-66.4536,565,1,32
74,-37.0619,36.2884,-66.0241,257,1,33
74,-41.9762,38.535,-65.3499,1428,0,38
74,-25.1914,18.9121,44.8777,229,0,7
74,-25.6754,19.2041,45.067,275,0,8
74,-26.1038,19.5821,45.4213,177,0,9
74,-26.6066,19.8486,45.6578,43,0,10
74,-27.6005,20.4074,46.2964,255,0,12
74,-28.1182,20.6635,46.5602,342,0,13
74,-28.5973,20.9622,46.5614,134,0,14
74,-29.1105,21.2244,47.3075,238,0,15
74,-29.5984,21.5113,47.4329,383,0,16
74,-30.149,21.7224,47.9973,184,0,17
74,-30.6393,22.0061,48.1678,86,0,18
74,-31.1162,22.3177,48.2478,264,0,19
74,-31.6004,22.6096,48.4916,195,0,20
74,-32.146,22.8276,48.7723,351,0,21
74,-32.6331,23.1155,49.0409,508,0,22
74,-34.2169,23.7754,49.8123,78,0,23
74,-35.1772,24.1753,50.4976,243,0,24
74,-36.1124,24.613,50.9758,205,0,25
74,-37.0779,25.0052,51.6829,317,0,26
74,-38.0357,25.4089,52.0099,234,0,27
74,-38.9979,25.8061,52.5303,686,0,28
74,-39.9714,26.1862,52.8665,277,0,29
74,-41.0017,26.4815,53.6306,222,0,30
74,-42.0017,26.8222,54.1672,198,0,31
74,-42.9465,27.2372,54.6199,275,0,32
74,-43.971,27.5165,55.1618,300,0,33
74,-44.9419,27.884,55.823,556,0,34
74,-45.957,28.1786,56.1724,398,0,35
74,-46.9829,28.4555,56.6271,489,0,36
74,-48.0007,28.7457,57.2481,855,0,37
74,-48.9535,29.143,57.5376,283,0,38
74,-50.9475,29.5994,58.5321,120,0,39
74,-52.1142,29.768,59.605,1330,0,40
74,-53.2074,30.0563,59.9328,556,0,41
74,-54.2393,30.4562,60.4011,89,0,42
74,-56.6126,30.6918,61.5781,432,0,44
74,-57.6766,31.0332,61.918,561,0,45
74,-58.8981,31.0875,62.6069,470,0,46
74,-59.9668,31.4203,62.7644,102,0,47
74,-25.2237,18.8681,41.0158,318,0,7
74,-25.4329,19.5339,41.2209,306,0,8
74,-25.6663,20.1519,41.3895,306,0,9
74,-25.9345,20.7173,41.4702,579,0,10
74,-26.0995,21.4207,41.702,227,0,11
74,-26.2402,22.1385,41.7464,256,0,12
74,-26.4862,22.7208,41.9412,146,0,13
74,-26.587,23.4599,42.1362,297,0,14
74,-26.6931,24.2017,42.3196,283,0,15
74,-26.9675,24.7413,42.492,162,0,16
74,-27.0058,25.524,42.6509,232,0,17
74,-27.4665,29.0599,43.4969,503,0,22
74,-27.7932,31.0357,43.9151,3211,0,23
74,-27.6079,32.5558,44.278,847,0,24
74,-27.8028,33.7206,44.4204,452,0,25
74,-27.7912,35.0387,44.758,680,0,26
74,-27.4818,36.57,45.1,272,0,27
74,-27.4816,37.8359,45.564,585,0,28
74,-27.1117,39.3531,45.8259,346,0,29
74,-27.1679,40.5431,46.0128,49,0,30
74,-25.9829,43.7076,47.1517,3172,0,32
74,-25.532,45.1514,47.2516,338,0,33
74,-25.336,46.4232,47.4981,1579,0,34
74,-24.4756,48.036,47.9173,211,0,35
74,-23.7288,49.5424,48.358,556,0,36
74,-23.2984,50.874,48.5424,1338,0,37
74,-22.3534,52.4049,48.7822,239,0,38
74,-20.785,55.1258,49.8324,46,0,39
74,-19.4648,56.7637,50.1731,1317,0,40
74,-17.4641,58.5575,50.7693,77,0,41
74,-15.193,60.3196,51.3253,80,0,42
74,-14.1113,61.7137,51.674,593,0,43
74,-11.8794,63.2948,52.3029,531,0,44
74,-10.2512,64.6867,52.7283,90,0,45
74,37.5542,54.9946,64.467,87,0,46
74,-4.04367,67.5675,54.2912,206,0,47
74,35.3939,57.6971,63.7339,767,0,47
